🏮 Warp-Compatible Sushi Discovery Server
=========================================
🚀 Server: http://127.0.0.1:8081
🍣 Discovery: http://127.0.0.1:8081/discovery.html
📊 API: http://127.0.0.1:8081/api/job-recommendations

✅ Bypassing Warp terminal localhost interception!
2025-09-21T02:16:41.117Z GET /api/job-recommendations
2025-09-21T02:16:41.132Z GET /discovery-emergency-fix.html
2025-09-21T02:16:47.849Z GET /three.min.js
2025-09-21T02:16:47.861Z GET /style.css
2025-09-21T02:16:47.876Z GET /sw.js
2025-09-21T02:16:55.450Z GET /revolving-door-cache.js
2025-09-21T02:16:55.464Z GET /payload-cache-strap.js
2025-09-21T02:16:55.476Z GET /cache-integration-layer.js
2025-09-21T02:17:03.777Z GET /api/job-recommendations
2025-09-21T02:17:22.973Z GET /discovery-emergency-fix.html
2025-09-21T02:17:24.665Z GET /sw.js
2025-09-21T02:19:46.294Z GET /sw.js
2025-09-21T02:19:49.248Z GET /sw.js
2025-09-21T02:19:55.553Z GET /.well-known/appspecific/com.chrome.devtools.json
2025-09-21T02:20:00.665Z GET /.well-known/appspecific/com.chrome.devtools.json
2025-09-21T02:20:02.224Z GET /sw.js
2025-09-21T02:20:14.899Z GET /sw.js
2025-09-21T02:20:19.115Z GET /sw.js
2025-09-21T02:22:50.403Z GET /discovery-complete.html
2025-09-21T02:22:50.517Z GET /cache-strap-bootstrap.js
2025-09-21T02:22:50.520Z GET /revolving-door-cache.js
2025-09-21T02:22:50.520Z GET /payload-cache-strap.js
2025-09-21T02:22:50.520Z GET /cache-integration-layer.js
2025-09-21T02:22:53.132Z GET /sw.js
2025-09-21T02:25:41.983Z GET /.well-known/appspecific/com.chrome.devtools.json
